"wso_id";"name_short";"sea_cd";"area_km2";"zone"
1091255;"";2;1.60000000000;""
1058059;"";2;7.20000000000;""
1127072;"";5;4.60000000000;"NS"
1058647;"";2;1.10000000000;""
1058640;"";2;1.50000000000;""
1094944;"";2;3.90000000000;""
1127661;"";5;3.50000000000;"NS"
1037938;"";5;28.2000000000;"NS"
1134969;"";5;11.8000000000;"NS"
1039471;"";2;2.40000000000;""
1119388;"";5;11.0000000000;"NS"
1056236;"";5;10.9000000000;"NS"
1061001;"";2;15.0000000000;""
1039474;"";2;13.1000000000;""
1126495;"";5;3.10000000000;"NS"
1112618;"";5;5.10000000000;"NS"
1112619;"";5;6.80000000000;"NS"
1128106;"";5;4.40000000000;"NS"
1088169;"";2;11.2000000000;""
1080716;"";2;5.00000000000;""
1060881;"";2;1.70000000000;""
1094071;"";2;8.50000000000;""
1042422;"";2;11.0000000000;""
1090927;"";2;21.0000000000;""
1083624;"";2;9.60000000000;""
1039343;"";2;6.40000000000;""
1086823;"";2;8.80000000000;""
1061504;"";2;14.0000000000;""
1061503;"";2;19.1000000000;""
1072540;"";2;4.40000000000;""
1112561;"";5;4.50000000000;"NS"
1050654;"";5;18.5000000000;"NS"
1134973;"SE_Inla";5;13.4000000000;"NS"
1127671;"";5;34.9000000000;"NS"
1042339;"";2;58.1000000000;""
1039446;"";2;13.9000000000;""
1056203;"SE_West";5;60.2000000000;"NS"
1061606;"";2;7.30000000000;""
1072647;"";2;3.70000000000;""
1039449;"";2;6.40000000000;""
1072641;"";2;3.50000000000;""
1128119;"";5;17.9000000000;"NS"
1088767;"";2;6.00000000000;""
1052795;"";5;20.7000000000;"NS"
1080767;"";2;4.30000000000;""
1042814;"";2;15.2000000000;""
1120709;"";5;5.40000000000;"NS"
1037033;"";2;175.700000000;""
1098934;"";2;1.10000000000;""
1098936;"";2;2.70000000000;""
1069974;"";2;2.90000000000;""
1083634;"";2;8.20000000000;""
1090934;"";2;8.00000000000;""
1098935;"";2;1.30000000000;""
1105651;"";5;2.90000000000;"NS"
1134618;"";5;5.70000000000;"NS"
1039356;"";2;14.6000000000;""
1056113;"SE_Inla";5;26.1000000000;"NS"
1039351;"";2;18.5000000000;""
1088270;"";2;16.7000000000;""
1127648;"";5;11.6000000000;"NS"
1115404;"";5;6.50000000000;"NS"
1042306;"";2;37.5000000000;""
1037532;"";2;183.800000000;""
1037533;"";2;93.2000000000;""
1107791;"";5;4.80000000000;"NS"
1112043;"";5;2.80000000000;"NS"
1069061;"";2;2.30000000000;""
1039455;"";2;22.1000000000;""
1056214;"SE_Inla";5;74.8000000000;"NS"
1056212;"SE_West";5;23.2000000000;"NS"
1072657;"";2;3.30000000000;""
1039458;"";2;0.00000000000;""
1101633;"";2;8.10000000000;""
1109630;"";5;3.80000000000;"NS"
1080776;"";2;15.7000000000;""
1131754;"";5;4.10000000000;"NS"
1064339;"";2;4.70000000000;""
1042866;"";2;5.30000000000;""
1034769;"SE_Both";2;1543.50000000;""
1071823;"";2;2.90000000000;""
1079828;"";2;1.10000000000;""
1069945;"";2;3.90000000000;""
1094645;"";2;1.60000000000;""
1083605;"";2;4.70000000000;""
1061943;"";2;5.40000000000;""
1060488;"";2;11.9000000000;""
1056164;"";5;11.2000000000;"NS"
1056165;"";5;28.4000000000;"NS"
1056160;"";5;75.9000000000;"NS"
1098520;"";2;1.80000000000;""
1109508;"";5;12.2000000000;"NS"
1090529;"";2;12.0000000000;""
1115874;"";5;10.9000000000;"NS"
1104833;"";5;3.60000000000;"NS"
1088242;"";2;8.00000000000;""
1115411;"";5;18.7000000000;"NS"
1133491;"SE_Inla";5;37.4000000000;"NS"
1068396;"";2;2.00000000000;""
1037506;"";2;29.2000000000;""
1094555;"";2;3.90000000000;""
1096781;"";2;13.2000000000;""
1097849;"";2;9.10000000000;""
1090034;"";2;17.6000000000;""
1112053;"";5;5.00000000000;"NS"
1098034;"";2;4.30000000000;""
1109010;"";5;3.90000000000;"NS"
1114284;"";5;2.80000000000;"NS"
1056261;"";5;44.9000000000;"NS"
1112059;"";5;3.90000000000;"NS"
1097462;"";2;0.00000000000;""
1077996;"";2;3.30000000000;""
1041186;"";2;29.7000000000;""
1128176;"";5;15.9000000000;"NS"
1049188;"";5;25.8000000000;"NS"
1120760;"";5;1.50000000000;"NS"
1071836;"";2;4.70000000000;""
1128768;"";5;1.30000000000;"NS"
1080749;"";2;8.60000000000;""
1037607;"";2;159.000000000;""
1037604;"";2;85.3000000000;""
1069957;"";2;3.10000000000;""
1055682;"SE_Inla";5;56.0000000000;"NS"
1055687;"SE_Inla";5;134.800000000;"NS"
1114785;"";5;3.50000000000;"NS"
1036895;"";2;114.100000000;""
1064865;"";2;3.10000000000;""
1082486;"";2;2.70000000000;""
1075440;"";2;15.4000000000;""
1090500;"";2;13.7000000000;""
1037975;"";5;257.300000000;"NS"
1037972;"";5;23.4000000000;"NS"
1042365;"";2;53.5000000000;""
1090002;"";2;2.50000000000;""
1067121;"";2;4.40000000000;""
1055597;"";5;102.900000000;"NS"
1055590;"";5;10.2000000000;"NS"
1097855;"";2;4.40000000000;""
1096799;"";2;0.00000000000;""
1101065;"";2;4.00000000000;""
1056273;"SE_Inla";5;107.500000000;"NS"
1101615;"";2;18.0000000000;""
1061670;"";2;14.1000000000;""
1036382;"";2;20.2000000000;""
1049199;"";5;50.4000000000;"NS"
1034747;"";5;17062.9000000;"NS"
1041199;"";2;8.60000000000;""
1064311;"";2;2.80000000000;""
1083076;"";2;3.80000000000;""
1071422;"";2;18.9000000000;""
1038228;"";5;33.8000000000;"NS"
1037617;"";2;15.1000000000;""
1037614;"";2;153.400000000;""
1037612;"";2;127.600000000;""
1090963;"";2;2.40000000000;""
1067229;"";2;1.40000000000;""
1037618;"";2;95.8000000000;""
1101948;"";2;13.1000000000;""
1056147;"";5;9.20000000000;"NS"
1056145;"";5;22.3000000000;"NS"
1097344;"";2;5.40000000000;""
1109565;"";5;14.2000000000;"NS"
1069543;"";2;18.4000000000;""
1061541;"";2;2.50000000000;""
1114793;"";5;1.10000000000;"NS"
1115850;"";5;4.50000000000;"NS"
1115851;"";5;4.90000000000;"NS"
1041293;"";2;5.90000000000;""
1128242;"";5;19.3000000000;"NS"
1036483;"";2;230.100000000;""
1037947;"";5;77.5000000000;"NS"
1049298;"";5;11.4000000000;"NS"
1037942;"";5;69.1000000000;"NS"
1064419;"";2;2.30000000000;""
1037948;"";5;22.5000000000;"NS"
1038139;"";5;283.000000000;"NS"
1042373;"";2;67.3000000000;""
1037564;"";2;137.300000000;""
1136191;"SE_Inla";5;14.3000000000;"NS"
1038725;"";5;184.700000000;"NS"
1038722;"";5;52.6000000000;"NS"
1037560;"";2;91.4000000000;""
1067726;"";2;4.30000000000;""
1037568;"";2;101.000000000;""
1126804;"";5;2.10000000000;"NS"
1109075;"";5;1.10000000000;"NS"
1130031;"";5;15.3000000000;"NS"
1056155;"";5;11.7000000000;"NS"
1086404;"";2;13.7000000000;""
1101668;"";2;2.80000000000;""
1128154;"";5;1.60000000000;"NS"
1120151;"";5;1.40000000000;"NS"
1034750;"";5;11171.5000000;"NS"
1064363;"";2;8.50000000000;""
1104303;"";5;1.40000000000;"NS"
1034756;"SE_Both";2;512.000000000;""
1034754;"FI_Finl";2;7332.50000000;""
1034755;"FI_Finl";2;2690.60000000;""
1036399;"";2;88.1000000000;""
1064369;"";2;1.40000000000;""
1071817;"";2;0.00000000000;""
1042854;"";2;8.70000000000;""
1119835;"";5;0.100000000000;"NS"
1071812;"";2;6.20000000000;""
1111831;"";5;3.50000000000;"NS"
1122481;"";5;2.70000000000;"NS"
1042477;"";2;9.30000000000;""
1101957;"";2;3.50000000000;""
1090971;"";2;4.50000000000;""
1037669;"";5;20.9000000000;"NS"
1063196;"";2;8.80000000000;""
